game_id,positive_reviews,total_reviews
939780,0,0
939790,0,0
939920,1,2
939930,0,3
940130,1,1
940140,0,0
940150,2,2
940180,1,1
940190,0,2
940240,1,1
939330,0,0
939360,10,12
939390,2,5
939400,36,41
939410,0,0
939450,10,10
939470,0,0
939520,243,505
939540,0,0
939550,0,0
939560,2,2
939580,0,0
939620,6,6
939670,0,0
939750,1,1
938810,0,0
938820,0,0
938840,0,0
938850,4,4
938870,0,1
938890,4,4
938940,2,7
938960,4,4
939000,52,59
939100,0,0
939110,0,0
939120,0,0
939150,1,1
939160,4,7
939180,11,17
939190,1,1
939200,1,1
939210,0,0
939230,5,5
939240,2,4
939250,0,0
939260,1,1
939270,0,0
939280,0,0
938390,0,3
938510,0,0
938520,0,1
938560,0,0
938570,0,0
938600,0,0
938630,1,1
938640,1,2
938660,0,0
938680,0,0
938740,1,1
938760,3,4
937910,0,0
937920,1,2
937930,0,0
937940,0,2
937960,0,0
937970,1,2
937980,0,0
938000,1,1
938040,0,0
938050,0,0
938100,3,3
938170,2,2
938210,0,0
938220,17,26
938240,3,4
938250,6,8
938260,1,1
938270,5,7
938280,2,2
938300,9,15
938310,4,4
938330,0,0
938340,0,0
938350,0,0
938360,0,0
937450,0,0
937490,7,7
937530,14,17
937550,0,0
937590,0,0
937610,0,0
937620,0,1
937640,0,2
937690,0,0
937730,8,9
937740,1,4
937770,3,3
937780,0,0
937820,1,2
937850,13,13
937860,0,0
937870,0,0
936940,0,0
936950,0,1
937020,0,0
937030,0,2
937070,0,0
937120,0,0
937130,0,0
937140,2,2
937180,0,0
937210,7,9
937220,0,0
937230,0,0
937320,1,1
937340,0,0
937350,0,0
937360,1,1
937390,1,1
936470,0,0
936490,0,0
936510,1,2
936530,1,1
936560,0,0
936600,0,0
936610,15,17
936620,5,8
936630,2,2
936650,11,11
936700,9,9
936720,80,92
936740,4,5
936770,0,0
936780,0,0
936800,1,2
936810,0,1
936820,0,1
936870,0,0
936890,0,0
936930,2,4
936000,1,1
936010,2,2
936020,1,1
936030,8,9
936040,1,2
936060,0,0
936070,0,0
936080,1,1
936090,0,2
936100,1,5
936150,0,0
936160,16,19
936170,0,0
936180,4,7
936190,6,6
936210,0,0
936270,0,0
935540,1,1
935550,0,0
935560,13,13
935570,0,0
935580,42,48
935610,0,0
935630,0,0
935660,0,0
935690,1,2
935700,1,4
935720,1,2
935730,0,0
935750,6,8
935790,3,3
935840,0,0
935860,1,1
935880,0,0
935920,0,0
935930,17,22
935940,0,1
935950,0,0
935960,1,4
935980,0,0
935110,0,0
935120,0,0
935140,0,0
935180,0,1
935190,3,5
935240,0,0
935260,0,0
935270,98,106
935320,0,0
935340,0,0
935350,1,2
935380,0,0
935400,0,0
935440,4,4
935450,0,0
935460,0,2
935490,0,0
935500,1,4
934600,0,0
934630,0,0
934670,0,0
934710,0,0
934790,0,0
934800,1,1
934810,0,0
934830,0,0
934840,0,0
934850,0,0
934860,0,0
934870,0,0
934880,0,0
934920,0,0
934950,1,4
934970,0,2
934990,4,6
935030,0,0
935070,11,14
934250,0,0
934410,2,3
934470,0,1
934480,0,0
934500,0,0
934510,0,0
934540,6,10
934550,0,0
934580,0,0
934590,0,2
933770,3,3
933830,0,0
933840,3,5
933860,0,0
933870,0,0
933880,11,11
933900,0,0
933920,2,8
933930,0,0
933940,0,0
933970,5,11
934020,0,0
934050,0,0
934060,0,0
934070,21,21
934090,0,0
934120,2,2
934160,0,0
934180,2,4
934220,2,5
933590,0,0
933630,5,7
933660,2,3
933690,0,4
933700,10,18
